date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
10/1/2017 0:00,21,9,0,11.6,5,71,3:26 pm,1:02 am,5:41 am,5:25 pm,7,8,10,8,22,4,79,0,1027,10,10,336,13
10/1/2017 1:00,21,9,0,11.6,5,71,3:26 pm,1:02 am,5:41 am,5:25 pm,6,8,10,8,22,3,80,0,1027,10,10,337,13
10/1/2017 2:00,21,9,0,11.6,5,71,3:26 pm,1:02 am,5:41 am,5:25 pm,6,8,10,8,22,1,81,0,1027,10,10,338,13
10/1/2017 3:00,21,9,0,11.6,5,71,3:26 pm,1:02 am,5:41 am,5:25 pm,6,8,9,8,22,0,81,0,1026,9,10,340,13
10/1/2017 4:00,21,9,0,11.6,5,71,3:26 pm,1:02 am,5:41 am,5:25 pm,7,8,10,8,21,0,80,0,1026,10,10,339,13
10/1/2017 5:00,21,9,0,11.6,5,71,3:26 pm,1:02 am,5:41 am,5:25 pm,7,8,10,8,20,0,78,0,1027,10,10,338,14
10/1/2017 6:00,21,9,0,11.6,5,71,3:26 pm,1:02 am,5:41 am,5:25 pm,7,9,11,9,20,0,77,0,1027,11,10,337,14
10/1/2017 7:00,21,9,0,11.6,5,71,3:26 pm,1:02 am,5:41 am,5:25 pm,6,11,12,11,17,0,68,0,1027,12,10,340,13
10/1/2017 8:00,21,9,0,11.6,5,71,3:26 pm,1:02 am,5:41 am,5:25 pm,6,13,14,13,15,0,60,0,1027,14,10,344,12
10/1/2017 9:00,21,9,0,11.6,5,71,3:26 pm,1:02 am,5:41 am,5:25 pm,5,15,15,15,13,0,52,0,1027,15,10,348,11
10/1/2017 10:00,21,9,0,11.6,5,71,3:26 pm,1:02 am,5:41 am,5:25 pm,5,17,17,17,9,0,48,0,1027,17,10,233,8
10/1/2017 11:00,21,9,0,11.6,5,71,3:26 pm,1:02 am,5:41 am,5:25 pm,5,18,18,18,6,0,43,0,1026,18,10,118,5
10/1/2017 12:00,21,9,0,11.6,5,71,3:26 pm,1:02 am,5:41 am,5:25 pm,6,20,20,20,2,1,39,0,1026,20,10,3,2
10/1/2017 13:00,21,9,0,11.6,5,71,3:26 pm,1:02 am,5:41 am,5:25 pm,6,20,20,20,2,0,39,0,1025,20,10,99,2
10/1/2017 14:00,21,9,0,11.6,5,71,3:26 pm,1:02 am,5:41 am,5:25 pm,6,20,20,20,3,0,39,0,1025,20,10,195,3
10/1/2017 15:00,21,9,0,11.6,5,71,3:26 pm,1:02 am,5:41 am,5:25 pm,6,21,21,21,3,0,39,0,1024,21,10,291,3
10/1/2017 16:00,21,9,0,11.6,5,71,3:26 pm,1:02 am,5:41 am,5:25 pm,6,19,19,19,6,0,43,0,1025,19,10,273,4
10/1/2017 17:00,21,9,0,11.6,5,71,3:26 pm,1:02 am,5:41 am,5:25 pm,6,18,18,18,9,0,47,0,1025,18,10,254,6
10/1/2017 18:00,21,9,0,11.6,5,71,3:26 pm,1:02 am,5:41 am,5:25 pm,6,16,16,16,12,0,51,0,1025,16,10,236,7
10/1/2017 19:00,21,9,0,11.6,5,71,3:26 pm,1:02 am,5:41 am,5:25 pm,6,15,15,15,15,0,54,0,1025,15,10,255,8
10/1/2017 20:00,21,9,0,11.6,5,71,3:26 pm,1:02 am,5:41 am,5:25 pm,6,14,14,14,18,0,57,0,1025,14,10,275,10
10/1/2017 21:00,21,9,0,11.6,5,71,3:26 pm,1:02 am,5:41 am,5:25 pm,6,12,13,12,21,0,60,0,1025,13,10,295,11
10/1/2017 22:00,21,9,0,11.6,5,71,3:26 pm,1:02 am,5:41 am,5:25 pm,5,12,13,12,25,1,60,0,1025,13,10,305,13
10/1/2017 23:00,21,9,0,11.6,5,71,3:26 pm,1:02 am,5:41 am,5:25 pm,5,11,13,11,28,1,61,0,1025,13,10,316,15
10/2/2017 0:00,18,12,0,11.6,5,78,4:01 pm,2:03 am,5:42 am,5:23 pm,5,11,12,11,32,2,62,0,1025,12,10,326,17
10/2/2017 1:00,18,12,0,11.6,5,78,4:01 pm,2:03 am,5:42 am,5:23 pm,5,11,12,11,29,4,64,0,1025,12,10,332,16
10/2/2017 2:00,18,12,0,11.6,5,78,4:01 pm,2:03 am,5:42 am,5:23 pm,6,10,12,10,27,5,65,0,1025,12,10,338,15
10/2/2017 3:00,18,12,0,11.6,5,78,4:01 pm,2:03 am,5:42 am,5:23 pm,6,10,12,10,25,7,67,0,1025,12,10,343,14
10/2/2017 4:00,18,12,0,11.6,5,78,4:01 pm,2:03 am,5:42 am,5:23 pm,6,10,12,10,24,5,66,0,1026,12,10,348,14
10/2/2017 5:00,18,12,0,11.6,5,78,4:01 pm,2:03 am,5:42 am,5:23 pm,6,11,12,11,22,3,64,0,1027,12,10,352,14
10/2/2017 6:00,18,12,0,11.6,5,78,4:01 pm,2:03 am,5:42 am,5:23 pm,6,11,13,11,21,2,63,0,1027,13,10,356,14
10/2/2017 7:00,18,12,0,11.6,5,78,4:01 pm,2:03 am,5:42 am,5:23 pm,6,13,14,13,20,6,59,0,1028,14,10,244,14
10/2/2017 8:00,18,12,0,11.6,5,78,4:01 pm,2:03 am,5:42 am,5:23 pm,7,15,16,15,19,10,56,0,1028,16,10,132,15
10/2/2017 9:00,18,12,0,11.6,5,78,4:01 pm,2:03 am,5:42 am,5:23 pm,8,17,17,17,17,15,53,0,1029,17,10,20,15
10/2/2017 10:00,18,12,0,11.6,5,78,4:01 pm,2:03 am,5:42 am,5:23 pm,8,18,18,18,17,10,52,0,1029,18,10,28,15
10/2/2017 11:00,18,12,0,11.6,5,78,4:01 pm,2:03 am,5:42 am,5:23 pm,8,18,18,18,16,5,52,0,1029,18,10,35,14
10/2/2017 12:00,18,12,0,11.6,5,78,4:01 pm,2:03 am,5:42 am,5:23 pm,8,18,18,18,16,0,52,0,1029,18,10,43,14
10/2/2017 13:00,18,12,0,11.6,5,78,4:01 pm,2:03 am,5:42 am,5:23 pm,8,18,18,18,16,0,54,0,1029,18,10,47,13
10/2/2017 14:00,18,12,0,11.6,5,78,4:01 pm,2:03 am,5:42 am,5:23 pm,9,18,18,18,16,0,55,0,1030,18,10,50,13
10/2/2017 15:00,18,12,0,11.6,5,78,4:01 pm,2:03 am,5:42 am,5:23 pm,9,17,17,17,16,0,57,0,1030,17,10,53,12
10/2/2017 16:00,18,12,0,11.6,5,78,4:01 pm,2:03 am,5:42 am,5:23 pm,9,16,16,16,13,0,63,0,1031,16,10,74,10
10/2/2017 17:00,18,12,0,11.6,5,78,4:01 pm,2:03 am,5:42 am,5:23 pm,10,16,16,16,10,0,69,0,1031,16,10,95,7
10/2/2017 18:00,18,12,0,11.6,5,78,4:01 pm,2:03 am,5:42 am,5:23 pm,11,15,15,15,7,0,74,0,1032,15,10,117,5
10/2/2017 19:00,18,12,0,11.6,5,78,4:01 pm,2:03 am,5:42 am,5:23 pm,11,15,15,15,6,0,77,0,1033,15,10,121,5
10/2/2017 20:00,18,12,0,11.6,5,78,4:01 pm,2:03 am,5:42 am,5:23 pm,12,15,15,15,6,0,79,0,1033,15,10,125,4
10/2/2017 21:00,18,12,0,11.6,5,78,4:01 pm,2:03 am,5:42 am,5:23 pm,12,16,16,16,6,0,81,0,1034,16,10,130,4
10/2/2017 22:00,18,12,0,11.6,5,78,4:01 pm,2:03 am,5:42 am,5:23 pm,12,15,15,15,6,0,81,0,1034,15,10,121,5
10/2/2017 23:00,18,12,0,11.6,5,78,4:01 pm,2:03 am,5:42 am,5:23 pm,12,15,15,15,7,0,80,0,1035,15,10,111,5
10/3/2017 0:00,18,13,0,11.6,5,85,4:34 pm,3:06 am,5:43 am,5:21 pm,12,15,15,15,7,0,80,0,1035,15,10,102,6
10/3/2017 1:00,18,13,0,11.6,5,85,4:34 pm,3:06 am,5:43 am,5:21 pm,11,15,15,15,8,0,80,0,1035,15,10,96,6
10/3/2017 2:00,18,13,0,11.6,5,85,4:34 pm,3:06 am,5:43 am,5:21 pm,11,14,14,14,9,0,79,0,1035,14,10,90,6
10/3/2017 3:00,18,13,0,11.6,5,85,4:34 pm,3:06 am,5:43 am,5:21 pm,10,13,14,13,10,0,79,0,1036,14,10,84,7
10/3/2017 4:00,18,13,0,11.6,5,85,4:34 pm,3:06 am,5:43 am,5:21 pm,10,14,14,14,9,0,76,0,1036,14,10,97,6
10/3/2017 5:00,18,13,0,11.6,5,85,4:34 pm,3:06 am,5:43 am,5:21 pm,10,15,15,15,8,0,73,0,1037,15,10,109,6
10/3/2017 6:00,18,13,0,11.6,5,85,4:34 pm,3:06 am,5:43 am,5:21 pm,10,15,15,15,7,0,70,0,1038,15,10,122,6
10/3/2017 7:00,18,13,0,11.6,5,85,4:34 pm,3:06 am,5:43 am,5:21 pm,9,16,16,16,8,0,64,0,1038,16,10,119,7
10/3/2017 8:00,18,13,0,11.6,5,85,4:34 pm,3:06 am,5:43 am,5:21 pm,8,17,17,17,9,0,58,0,1038,17,10,117,8
10/3/2017 9:00,18,13,0,11.6,5,85,4:34 pm,3:06 am,5:43 am,5:21 pm,8,18,18,18,10,0,53,0,1038,18,10,114,9
10/3/2017 10:00,18,13,0,11.6,5,85,4:34 pm,3:06 am,5:43 am,5:21 pm,8,18,18,18,10,0,51,0,1037,18,10,122,9
10/3/2017 11:00,18,13,0,11.6,5,85,4:34 pm,3:06 am,5:43 am,5:21 pm,8,18,18,18,10,0,50,0,1037,18,10,131,9
10/3/2017 12:00,18,13,0,11.6,5,85,4:34 pm,3:06 am,5:43 am,5:21 pm,7,18,18,18,11,0,49,0,1036,18,10,139,9
10/3/2017 13:00,18,13,0,11.6,5,85,4:34 pm,3:06 am,5:43 am,5:21 pm,8,18,18,18,13,0,50,0,1036,18,10,145,11
10/3/2017 14:00,18,13,0,11.6,5,85,4:34 pm,3:06 am,5:43 am,5:21 pm,8,18,18,18,16,0,52,0,1036,18,10,152,12
10/3/2017 15:00,18,13,0,11.6,5,85,4:34 pm,3:06 am,5:43 am,5:21 pm,8,17,17,17,18,0,53,0,1035,17,10,158,14
10/3/2017 16:00,18,13,0,11.6,5,85,4:34 pm,3:06 am,5:43 am,5:21 pm,8,15,16,15,21,0,58,0,1035,16,10,168,14
10/3/2017 17:00,18,13,0,11.6,5,85,4:34 pm,3:06 am,5:43 am,5:21 pm,8,14,15,14,23,0,63,0,1035,15,10,178,15
10/3/2017 18:00,18,13,0,11.6,5,85,4:34 pm,3:06 am,5:43 am,5:21 pm,8,12,13,12,26,0,68,0,1035,13,10,187,15
10/3/2017 19:00,18,13,0,11.6,5,85,4:34 pm,3:06 am,5:43 am,5:21 pm,8,12,13,12,26,0,70,0,1034,13,10,196,15
10/3/2017 20:00,18,13,0,11.6,5,85,4:34 pm,3:06 am,5:43 am,5:21 pm,8,11,13,11,26,0,73,0,1034,13,10,205,15
10/3/2017 21:00,18,13,0,11.6,5,85,4:34 pm,3:06 am,5:43 am,5:21 pm,8,11,13,11,27,0,75,0,1033,13,10,214,15
10/3/2017 22:00,18,13,0,11.6,5,85,4:34 pm,3:06 am,5:43 am,5:21 pm,8,11,12,11,28,0,76,0,1033,12,10,219,16
10/3/2017 23:00,18,13,0,11.6,5,85,4:34 pm,3:06 am,5:43 am,5:21 pm,8,11,12,11,29,0,77,0,1032,12,10,225,17
10/4/2017 0:00,23,12,0,11.6,5,92,5:06 pm,4:11 am,5:44 am,5:19 pm,8,10,12,10,31,0,78,0,1032,12,10,230,17
10/4/2017 1:00,23,12,0,11.6,5,92,5:06 pm,4:11 am,5:44 am,5:19 pm,9,10,12,10,30,0,79,0,1031,12,10,231,17
10/4/2017 2:00,23,12,0,11.6,5,92,5:06 pm,4:11 am,5:44 am,5:19 pm,9,10,12,10,30,0,79,0,1031,12,10,231,17
10/4/2017 3:00,23,12,0,11.6,5,92,5:06 pm,4:11 am,5:44 am,5:19 pm,9,10,12,10,30,0,80,0,1030,12,10,232,17
10/4/2017 4:00,23,12,0,11.6,5,92,5:06 pm,4:11 am,5:44 am,5:19 pm,9,11,13,11,30,0,79,0,1030,13,10,235,18
10/4/2017 5:00,23,12,0,11.6,5,92,5:06 pm,4:11 am,5:44 am,5:19 pm,9,11,13,11,30,0,78,0,1030,13,10,238,19
