Year,Month,Day,Hour,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure
2017,10,1,0,0,0,0,0,0,0,Probably Clear,9,113.48,0.126,2.9,92.2,11,1020
2017,10,1,1,0,0,0,0,0,0,Probably Clear,9,123.62,0.126,2.9,96.86,10,1020
2017,10,1,2,0,0,0,0,0,0,Probably Clear,9,132.35,0.126,2.8,94.37,10,1020
2017,10,1,3,0,0,0,0,0,0,Probably Clear,8,138.62,0.126,2.6,91.98,10,1020
2017,10,1,4,0,0,0,0,0,0,Probably Clear,8,141.11,0.126,2.6,90.5,10,1020
2017,10,1,5,0,0,0,0,0,0,Probably Clear,8,139.1,0.126,2.6,96.47,9,1020
2017,10,1,6,0,0,0,0,0,0,Probably Clear,8,133.2,0.126,2.7,96.31,9,1020
2017,10,1,7,0,0,0,0,0,0,Probably Clear,8,124.69,0.126,2.7,95.77,9,1020
2017,10,1,8,0,0,0,0,0,0,Probably Clear,8,114.68,0.126,2.8,95.3,9,1020
2017,10,1,9,0,0,0,0,0,0,Probably Clear,8,103.89,0.126,2.8,94.95,9,1020
2017,10,1,10,0,0,0,0,0,0,Probably Clear,8,92.8,0.126,2.8,94.59,9,1020
2017,10,1,11,39,460,105,39,460,105,Clear,8,81.79,0.126,2.7,95.14,9,1020
2017,10,1,12,64,708,292,64,708,292,Clear,8,71.2,0.126,2.6,83.25,11,1020
2017,10,1,13,76,825,470,76,825,470,Clear,7,61.52,0.126,2.5,69.93,13,1020
2017,10,1,14,83,886,612,83,886,612,Clear,6,53.39,0.126,2.2,60.27,14,1020
2017,10,1,15,87,918,704,87,918,704,Clear,5,47.74,0.126,1.9,53.66,15,1020
2017,10,1,16,87,930,738,87,930,738,Clear,5,45.57,0.126,1.6,48.15,16,1020
2017,10,1,17,85,924,711,85,924,711,Clear,4,47.39,0.126,1.2,43.25,17,1020
2017,10,1,18,81,897,625,81,897,625,Clear,4,52.76,0.126,1,42.39,17,1020
2017,10,1,19,73,846,487,73,846,487,Clear,4,60.71,0.126,0.8,42.88,17,1010
2017,10,1,20,60,745,312,60,745,312,Clear,4,70.29,0.126,0.8,43.57,17,1010
2017,10,1,21,39,528,123,39,528,123,Probably Clear,6,80.82,0.126,1.1,54.29,16,1010
2017,10,1,22,0,0,0,0,0,0,Clear,6,91.83,0.126,1.5,61.16,14,1010
2017,10,1,23,0,0,0,0,0,0,Clear,6,102.95,0.126,1.9,64.41,13,1010
2017,10,2,0,0,0,0,0,0,0,Probably Clear,6,113.81,0.126,2.2,71.08,12,1020
2017,10,2,1,0,0,0,0,0,0,Clear,7,123.97,0.126,2.5,74.03,12,1020
2017,10,2,2,0,0,0,0,0,0,Clear,8,132.73,0.126,2.8,81.78,11,1020
2017,10,2,3,0,0,0,0,0,0,Clear,8,139.01,0.126,3,83.24,11,1020
2017,10,2,4,0,0,0,0,0,0,Probably Clear,8,141.5,0.126,2.9,89.46,10,1020
2017,10,2,5,0,0,0,0,0,0,Probably Clear,8,139.45,0.126,2.9,90.04,10,1020
2017,10,2,6,0,0,0,0,0,0,Probably Clear,8,133.49,0.126,2.9,90.46,10,1020
2017,10,2,7,0,0,0,0,0,0,Probably Clear,8,124.94,0.126,2.8,90.32,10,1020
2017,10,2,8,0,0,0,0,0,0,Cirrus,8,114.9,0.126,2.8,95.93,9,1020
2017,10,2,9,0,0,0,0,0,0,Probably Clear,8,104.09,0.126,2.8,94.65,9,1020
2017,10,2,10,0,0,0,0,0,0,Probably Clear,8,93.01,0.126,2.7,93.52,9,1020
2017,10,2,11,36,480,103,36,480,103,Probably Clear,8,81.99,0.126,2.5,82.34,11,1020
2017,10,2,12,59,724,290,59,724,290,Clear,8,71.43,0.126,2.4,72.87,13,1020
2017,10,2,13,72,832,466,72,832,466,Clear,8,61.78,0.126,2.5,64.92,15,1020
2017,10,2,14,81,887,606,81,887,606,Clear,8,53.69,0.126,2.5,57.16,17,1020
2017,10,2,15,87,909,695,87,909,695,Clear,8,48.09,0.126,2.5,53.79,18,1020
2017,10,2,16,90,915,726,90,915,726,Clear,8,45.96,0.126,2.4,54.08,18,1020
2017,10,2,17,90,903,697,90,903,697,Clear,8,47.78,0.126,2.4,54.57,18,1020
2017,10,2,18,90,864,608,90,864,608,Clear,8,53.14,0.126,2.3,55.12,18,1020
2017,10,2,19,81,806,471,81,806,471,Clear,8,61.06,0.126,2.2,55.59,18,1020
2017,10,2,20,67,697,298,67,697,298,Clear,9,70.63,0.126,2,59.66,17,1020
2017,10,2,21,42,467,114,42,467,114,Probably Clear,9,81.15,0.126,1.9,71.46,15,1020
2017,10,2,22,0,0,0,0,0,0,Clear,10,92.15,0.126,1.9,85.62,13,1020
2017,10,2,23,0,0,0,0,0,0,Probably Clear,10,103.27,0.126,2,92.95,12,1020
2017,10,3,0,0,0,0,0,0,0,Probably Clear,11,114.14,0.126,2.1,95.54,12,1020
2017,10,3,1,0,0,0,0,0,0,Probably Clear,11,124.32,0.126,2.3,97.85,12,1020
2017,10,3,2,0,0,0,0,0,0,Probably Clear,11,133.1,0.126,2.5,100,11,1020
2017,10,3,3,0,0,0,0,0,0,Clear,11,139.4,0.126,2.6,100,11,1020
2017,10,3,4,0,0,0,0,0,0,Clear,11,141.89,0.126,2.6,100,11,1030
2017,10,3,5,0,0,0,0,0,0,Clear,11,139.8,0.126,2.5,100,11,1030
2017,10,3,6,0,0,0,0,0,0,Probably Clear,10,133.79,0.126,2.5,98.87,11,1030
2017,10,3,7,0,0,0,0,0,0,Probably Clear,10,125.19,0.126,2.5,93.9,11,1030
2017,10,3,8,0,0,0,0,0,0,Probably Clear,9,115.11,0.126,2.4,90.5,11,1030
2017,10,3,9,0,0,0,0,0,0,Probably Clear,9,104.3,0.126,2.3,88.41,11,1030
