Year,Month,Day,Hour,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure
2014,10,1,0,0,0,0,0,0,0,Super-Cooled Water,14,113.39,0.13,3.3,100,14,1010
2014,10,1,1,0,0,0,0,0,0,Super-Cooled Water,14,123.52,0.13,3.2,100,14,1010
2014,10,1,2,0,0,0,0,0,0,Super-Cooled Water,13,132.25,0.13,3.1,99.64,14,1010
2014,10,1,3,0,0,0,0,0,0,Super-Cooled Water,13,138.51,0.13,3,99.46,14,1010
2014,10,1,4,0,0,0,0,0,0,Super-Cooled Water,13,141,0.13,2.9,99.72,14,1010
2014,10,1,5,0,0,0,0,0,0,Super-Cooled Water,14,139.01,0.13,2.9,100,14,1010
2014,10,1,6,0,0,0,0,0,0,Super-Cooled Water,14,133.12,0.13,2.9,100,14,1010
2014,10,1,7,0,0,0,0,0,0,Super-Cooled Water,14,124.62,0.13,2.9,100,14,1010
2014,10,1,8,0,0,0,0,0,0,Super-Cooled Water,14,114.61,0.13,3,100,14,1010
2014,10,1,9,0,0,0,0,0,0,Super-Cooled Water,14,103.83,0.13,3,100,14,1010
2014,10,1,10,0,0,0,0,0,0,Super-Cooled Water,14,92.75,0.13,3.1,100,14,1010
2014,10,1,11,38,261.3888889,38,49,295,91,Super-Cooled Water,14,81.73,0.13,3.1,100,14,1010
2014,10,1,12,74,427.95,74,89,533,262,Super-Cooled Water,14,71.14,0.13,3.2,100,14,1010
2014,10,1,13,65,528.3181818,65,116,648,426,Super-Cooled Water,14,61.44,0.13,3.3,98,15,1010
2014,10,1,14,79,608.9545455,79,135,707,558,Cirrus,14,53.31,0.13,3.5,99.03,15,1010
2014,10,1,15,43,608.8181818,43,159,714,640,Cirrus,14,47.65,0.13,3.8,92.88,16,1010
2014,10,1,16,75,443.5882353,75,166,719,670,Cirrus,14,45.47,0.13,3.9,92.09,16,1010
2014,10,1,17,93,523.1578947,93,164,705,643,Cirrus,14,47.28,0.13,3.9,97.27,15,1010
2014,10,1,18,99,430.5652174,99,158,660,559,Super-Cooled Water,14,52.65,0.13,3.8,96.3,15,1010
