Year,Month,Day,Hour,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure
2014,1,1,0,0,0,0,0,0,0,Probably Clear,-6,124.02,0.12,3.5,78.43,-3,1010
2014,1,1,1,0,0,0,0,0,0,Probably Clear,-5,135.09,0.12,3.8,81.74,-3,1010
2014,1,1,2,0,0,0,0,0,0,Probably Clear,-5,145.77,0.12,4.2,81.25,-3,1010
2014,1,1,3,0,0,0,0,0,0,Probably Clear,-6,155.07,0.12,4.5,74.14,-3,1010
2014,1,1,4,0,0,0,0,0,0,Probably Clear,-8,160.55,0.12,4.6,72.8,-4,1010
2014,1,1,5,0,0,0,0,0,0,Probably Clear,-8,158.86,0.12,4.6,68.48,-4,1010
2014,1,1,6,0,0,0,0,0,0,Probably Clear,-9,151.26,0.12,4.5,71.57,-5,1010
2014,1,1,7,0,0,0,0,0,0,Probably Clear,-9,141.17,0.12,4.4,69.95,-5,1020
2014,1,1,8,0,0,0,0,0,0,Super-Cooled Water,-9,130.24,0.12,4.3,74.24,-6,1020
2014,1,1,9,0,0,0,0,0,0,Super-Cooled Water,-10,119.14,0.12,4.3,73.07,-6,1020
2014,1,1,10,0,0,0,0,0,0,Super-Cooled Water,-10,108.2,0.12,4.1,72.43,-6,1020
2014,1,1,11,0,0,0,0,0,0,Probably Clear,-10,97.73,0.12,3.9,72.47,-6,1020
2014,1,1,12,15,232,23,15,232,23,Probably Clear,-9,88,0.12,3.7,68.04,-5,1020
2014,1,1,13,47,630,162,47,630,162,Probably Clear,-9,79.4,0.12,3.7,64,-4,1020
2014,1,1,14,62,781,298,62,781,298,Clear,-10,72.39,0.12,3.6,58.17,-3,1020
2014,1,1,15,69,847,394,69,847,394,Clear,-10,67.49,0.12,3.6,52.61,-2,1020
2014,1,1,16,135,487,339,73,865,436,Super-Cooled Water,-10,65.21,0.12,3.5,52.58,-2,1020
2014,1,1,17,162,307,288,72,854,421,Super-Cooled Water,-10,65.84,0.12,3.5,53.34,-2,1020
2014,1,1,18,106,495,281,66,811,353,Super-Cooled Water,-10,69.29,0.12,3.4,54.33,-2,1020
2014,1,1,19,77,427,187,56,703,236,Super-Cooled Water,-9,75.16,0.12,3.2,55.62,-2,1020
2014,1,1,20,36,468,94,36,468,94,Probably Clear,-9,82.92,0.12,3,57.4,-2,1020
2014,1,1,21,0,0,0,0,0,0,Probably Clear,-8,92.05,0.12,2.8,65.28,-3,1020
2014,1,1,22,0,0,0,0,0,0,Probably Clear,-8,102.14,0.12,2.7,71.26,-4,1020
2014,1,1,23,0,0,0,0,0,0,Probably Clear,-8,112.84,0.12,2.4,71.33,-4,1020
2014,1,2,0,0,0,0,0,0,0,Probably Clear,-8,123.88,0.866,2,71.83,-4,1020
2014,1,2,1,0,0,0,0,0,0,Probably Clear,-8,134.96,0.866,1.7,70.76,-4,1020
2014,1,2,2,0,0,0,0,0,0,Super-Cooled Water,-8,145.63,0.866,1.5,69.23,-4,1020
2014,1,2,3,0,0,0,0,0,0,Cirrus,-8,154.94,0.866,1.3,69.17,-4,1020
