Year,Month,Day,Hour,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,,Dew Point Norm,Solar Zenith Angle Norm,Surface Albedo,Wind Speed Norm,Relative Humidity Norm,Temperature Norm,Pressure,Pressure Cat
2014,1,1,0,0,0,0,0,0,0,Probably Clear,,0.302325581,0.689,0.12,0.311926606,0.7843,0.31372549,1010,1010
2014,1,1,1,0,0,0,0,0,0,Probably Clear,,0.325581395,0.7505,0.12,0.339449541,0.8174,0.31372549,1010,1010
2014,1,1,2,0,0,0,0,0,0,Probably Clear,,0.325581395,0.809833333,0.12,0.376146789,0.8125,0.31372549,1010,1010
2014,1,1,3,0,0,0,0,0,0,Probably Clear,,0.302325581,0.8615,0.12,0.403669725,0.7414,0.31372549,1010,1010
2014,1,1,4,0,0,0,0,0,0,Probably Clear,,0.255813953,0.891944444,0.12,0.412844037,0.728,0.294117647,1010,1010
2014,1,1,5,0,0,0,0,0,0,Probably Clear,,0.255813953,0.882555556,0.12,0.412844037,0.6848,0.294117647,1010,1010
2014,1,1,6,0,0,0,0,0,0,Probably Clear,,0.23255814,0.840333333,0.12,0.403669725,0.7157,0.274509804,1010,1010
2014,1,1,7,0,0,0,0,0,0,Probably Clear,,0.23255814,0.784277778,0.12,0.394495413,0.6995,0.274509804,1020,>=1020
2014,1,1,8,0,0,0,0,0,0,Super-Cooled Water,,0.23255814,0.723555556,0.12,0.385321101,0.7424,0.254901961,1020,>=1020
2014,1,1,9,0,0,0,0,0,0,Super-Cooled Water,,0.209302326,0.661888889,0.12,0.385321101,0.7307,0.254901961,1020,>=1020
2014,1,1,10,0,0,0,0,0,0,Super-Cooled Water,,0.209302326,0.601111111,0.12,0.366972477,0.7243,0.254901961,1020,>=1020
2014,1,1,11,0,0,0,0,0,0,Probably Clear,,0.209302326,0.542944444,0.12,0.348623853,0.7247,0.254901961,1020,>=1020
2014,1,1,12,15,232,23,15,232,23,Probably Clear,,0.23255814,0.488888889,0.12,0.330275229,0.6804,0.274509804,1020,>=1020
2014,1,1,13,47,630,162,47,630,162,Probably Clear,,0.23255814,0.441111111,0.12,0.330275229,0.64,0.294117647,1020,>=1020
2014,1,1,14,62,781,298,62,781,298,Clear,,0.209302326,0.402166667,0.12,0.321100917,0.5817,0.31372549,1020,>=1020
2014,1,1,15,69,847,394,69,847,394,Clear,,0.209302326,0.374944444,0.12,0.321100917,0.5261,0.333333333,1020,>=1020
2014,1,1,16,135,487,339,73,865,436,Super-Cooled Water,,0.209302326,0.362277778,0.12,0.311926606,0.5258,0.333333333,1020,>=1020
2014,1,1,17,162,307,288,72,854,421,Super-Cooled Water,,0.209302326,0.365777778,0.12,0.311926606,0.5334,0.333333333,1020,>=1020
2014,1,1,18,106,495,281,66,811,353,Super-Cooled Water,,0.209302326,0.384944444,0.12,0.302752294,0.5433,0.333333333,1020,>=1020
2014,1,1,19,77,427,187,56,703,236,Super-Cooled Water,,0.23255814,0.417555556,0.12,0.28440367,0.5562,0.333333333,1020,>=1020
2014,1,1,20,36,468,94,36,468,94,Probably Clear,,0.23255814,0.460666667,0.12,0.266055046,0.574,0.333333333,1020,>=1020
2014,1,1,21,0,0,0,0,0,0,Probably Clear,,0.255813953,0.511388889,0.12,0.247706422,0.6528,0.31372549,1020,>=1020
2014,1,1,22,0,0,0,0,0,0,Probably Clear,,0.255813953,0.567444444,0.12,0.23853211,0.7126,0.294117647,1020,>=1020
2014,1,1,23,0,0,0,0,0,0,Probably Clear,,0.255813953,0.626888889,0.12,0.211009174,0.7133,0.294117647,1020,>=1020
2014,1,2,0,0,0,0,0,0,0,Probably Clear,,0.255813953,0.688222222,0.866,0.174311927,0.7183,0.294117647,1020,>=1020
2014,1,2,1,0,0,0,0,0,0,Probably Clear,,0.255813953,0.749777778,0.866,0.146788991,0.7076,0.294117647,1020,>=1020
2014,1,2,2,0,0,0,0,0,0,Super-Cooled Water,,0.255813953,0.809055556,0.866,0.128440367,0.6923,0.294117647,1020,>=1020
2014,1,2,3,0,0,0,0,0,0,Cirrus,,0.255813953,0.860777778,0.866,0.110091743,0.6917,0.294117647,1020,>=1020
2014,1,2,4,0,0,0,0,0,0,Super-Cooled Water,,0.255813953,0.891388889,0.866,0.110091743,0.7037,0.294117647,1020,>=1020
2014,1,2,5,0,0,0,0,0,0,Super-Cooled Water,,0.255813953,0.882388889,0.866,0.119266055,0.7226,0.294117647,1020,>=1020
