Year,Month,Day,Hour,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point Norm,Solar Zenith Angle Norm,Surface Albedo,Wind Speed Norm,Relative Humidity Norm,Temperature Norm,Pressure,Pressure Cat
2017,10,1,0,0,0,0,0,0,0,Probably Clear,0.651162791,0.630444444,0.126,0.256880734,0.922,0.588235294,1020,>=1020
2017,10,1,1,0,0,0,0,0,0,Probably Clear,0.651162791,0.686777778,0.126,0.256880734,0.9686,0.568627451,1020,>=1020
2017,10,1,2,0,0,0,0,0,0,Probably Clear,0.651162791,0.735277778,0.126,0.247706422,0.9437,0.568627451,1020,>=1020
2017,10,1,3,0,0,0,0,0,0,Probably Clear,0.627906977,0.770111111,0.126,0.229357798,0.9198,0.568627451,1020,>=1020
2017,10,1,4,0,0,0,0,0,0,Probably Clear,0.627906977,0.783944444,0.126,0.229357798,0.905,0.568627451,1020,>=1020
2017,10,1,5,0,0,0,0,0,0,Probably Clear,0.627906977,0.772777778,0.126,0.229357798,0.9647,0.549019608,1020,>=1020
2017,10,1,6,0,0,0,0,0,0,Probably Clear,0.627906977,0.74,0.126,0.23853211,0.9631,0.549019608,1020,>=1020
2017,10,1,7,0,0,0,0,0,0,Probably Clear,0.627906977,0.692722222,0.126,0.23853211,0.9577,0.549019608,1020,>=1020
2017,10,1,8,0,0,0,0,0,0,Probably Clear,0.627906977,0.637111111,0.126,0.247706422,0.953,0.549019608,1020,>=1020
2017,10,1,9,0,0,0,0,0,0,Probably Clear,0.627906977,0.577166667,0.126,0.247706422,0.9495,0.549019608,1020,>=1020
2017,10,1,10,0,0,0,0,0,0,Probably Clear,0.627906977,0.515555556,0.126,0.247706422,0.9459,0.549019608,1020,>=1020
2017,10,1,11,39,460,105,39,460,105,Clear,0.627906977,0.454388889,0.126,0.23853211,0.9514,0.549019608,1020,>=1020
2017,10,1,12,64,708,292,64,708,292,Clear,0.627906977,0.395555556,0.126,0.229357798,0.8325,0.588235294,1020,>=1020
2017,10,1,13,76,825,470,76,825,470,Clear,0.604651163,0.341777778,0.126,0.220183486,0.6993,0.62745098,1020,>=1020
2017,10,1,14,83,886,612,83,886,612,Clear,0.581395349,0.296611111,0.126,0.19266055,0.6027,0.647058824,1020,>=1020
2017,10,1,15,87,918,704,87,918,704,Clear,0.558139535,0.265222222,0.126,0.165137615,0.5366,0.666666667,1020,>=1020
2017,10,1,16,87,930,738,87,930,738,Clear,0.558139535,0.253166667,0.126,0.137614679,0.4815,0.68627451,1020,>=1020
2017,10,1,17,85,924,711,85,924,711,Clear,0.534883721,0.263277778,0.126,0.100917431,0.4325,0.705882353,1020,>=1020
2017,10,1,18,81,897,625,81,897,625,Clear,0.534883721,0.293111111,0.126,0.082568807,0.4239,0.705882353,1020,>=1020
2017,10,1,19,73,846,487,73,846,487,Clear,0.534883721,0.337277778,0.126,0.064220183,0.4288,0.705882353,1010,1010
2017,10,1,20,60,745,312,60,745,312,Clear,0.534883721,0.3905,0.126,0.064220183,0.4357,0.705882353,1010,1010
2017,10,1,21,39,528,123,39,528,123,Probably Clear,0.581395349,0.449,0.126,0.091743119,0.5429,0.68627451,1010,1010
2017,10,1,22,0,0,0,0,0,0,Clear,0.581395349,0.510166667,0.126,0.128440367,0.6116,0.647058824,1010,1010
2017,10,1,23,0,0,0,0,0,0,Clear,0.581395349,0.571944444,0.126,0.165137615,0.6441,0.62745098,1010,1010
2017,10,2,0,0,0,0,0,0,0,Probably Clear,0.581395349,0.632277778,0.126,0.19266055,0.7108,0.607843137,1020,>=1020
2017,10,2,1,0,0,0,0,0,0,Clear,0.604651163,0.688722222,0.126,0.220183486,0.7403,0.607843137,1020,>=1020
2017,10,2,2,0,0,0,0,0,0,Clear,0.627906977,0.737388889,0.126,0.247706422,0.8178,0.588235294,1020,>=1020
2017,10,2,3,0,0,0,0,0,0,Clear,0.627906977,0.772277778,0.126,0.266055046,0.8324,0.588235294,1020,>=1020
2017,10,2,4,0,0,0,0,0,0,Probably Clear,0.627906977,0.786111111,0.126,0.256880734,0.8946,0.568627451,1020,>=1020
2017,10,2,5,0,0,0,0,0,0,Probably Clear,0.627906977,0.774722222,0.126,0.256880734,0.9004,0.568627451,1020,>=1020
2017,10,2,6,0,0,0,0,0,0,Probably Clear,0.627906977,0.741611111,0.126,0.256880734,0.9046,0.568627451,1020,>=1020
2017,10,2,7,0,0,0,0,0,0,Probably Clear,0.627906977,0.694111111,0.126,0.247706422,0.9032,0.568627451,1020,>=1020
2017,10,2,8,0,0,0,0,0,0,Cirrus,0.627906977,0.638333333,0.126,0.247706422,0.9593,0.549019608,1020,>=1020
2017,10,2,9,0,0,0,0,0,0,Probably Clear,0.627906977,0.578277778,0.126,0.247706422,0.9465,0.549019608,1020,>=1020
2017,10,2,10,0,0,0,0,0,0,Probably Clear,0.627906977,0.516722222,0.126,0.23853211,0.9352,0.549019608,1020,>=1020
2017,10,2,11,36,480,103,36,480,103,Probably Clear,0.627906977,0.4555,0.126,0.220183486,0.8234,0.588235294,1020,>=1020
2017,10,2,12,59,724,290,59,724,290,Clear,0.627906977,0.396833333,0.126,0.211009174,0.7287,0.62745098,1020,>=1020
2017,10,2,13,72,832,466,72,832,466,Clear,0.627906977,0.343222222,0.126,0.220183486,0.6492,0.666666667,1020,>=1020
2017,10,2,14,81,887,606,81,887,606,Clear,0.627906977,0.298277778,0.126,0.220183486,0.5716,0.705882353,1020,>=1020
2017,10,2,15,87,909,695,87,909,695,Clear,0.627906977,0.267166667,0.126,0.220183486,0.5379,0.725490196,1020,>=1020
2017,10,2,16,90,915,726,90,915,726,Clear,0.627906977,0.255333333,0.126,0.211009174,0.5408,0.725490196,1020,>=1020
2017,10,2,17,90,903,697,90,903,697,Clear,0.627906977,0.265444444,0.126,0.211009174,0.5457,0.725490196,1020,>=1020
2017,10,2,18,90,864,608,90,864,608,Clear,0.627906977,0.295222222,0.126,0.201834862,0.5512,0.725490196,1020,>=1020
2017,10,2,19,81,806,471,81,806,471,Clear,0.627906977,0.339222222,0.126,0.19266055,0.5559,0.725490196,1020,>=1020
2017,10,2,20,67,697,298,67,697,298,Clear,0.651162791,0.392388889,0.126,0.174311927,0.5966,0.705882353,1020,>=1020
